time,x,y,z
7.968,-0.9570770229,-1.6641540458,1
7.969,-0.9568947261,-1.6637894522,1
7.97,-0.9567120516,-1.6634241031,1
7.971,-0.9565289993,-1.6630579986,1
7.972,-0.9563455694,-1.6626911389,1
7.973,-0.956161762,-1.662323524,1
7.974,-0.9559775771,-1.6619551542,1
7.975,-0.9557930148,-1.6615860296,1
7.976,-0.9556080752,-1.6612161503,1
7.977,-0.9554227583,-1.6608455165,1
7.978,-0.9552370642,-1.6604741284,1
7.979,-0.955050993,-1.660101986,1
7.98,-0.9548645447,-1.6597290895,1
7.981,-0.9546777195,-1.6593554391,1
7.982,-0.9544905175,-1.6589810349,1
7.983,-0.9543029385,-1.6586058771,1
7.984,-0.9541149829,-1.6582299658,1
7.985,-0.9539266506,-1.6578533011,1
7.986,-0.9537379416,-1.6574758833,1
7.987,-0.9535488562,-1.6570977124,1
7.988,-0.9533593943,-1.6567187887,1
7.989,-0.9531695561,-1.6563391121,1
7.99,-0.9529793415,-1.655958683,1
7.991,-0.9527887507,-1.6555775015,1
7.992,-0.9525977838,-1.6551955676,1
7.993,-0.9524064408,-1.6548128817,1
7.994,-0.9522147218,-1.6544294437,1
7.995,-0.9520226269,-1.6540452539,1
7.996,-0.9518301562,-1.6536603124,1
7.997,-0.9516373097,-1.6532746194,1
7.998,-0.9514440875,-1.652888175,1
7.999,-0.9512504897,-1.6525009793,1
8,-0.9510565163,-1.6521130326,1
8.001,-0.9508621675,-1.6517243349,1
8.002,-0.9506674433,-1.6513348865,1
8.003,-0.9504723437,-1.6509446875,1
8.004,-0.950276869,-1.650553738,1
8.005,-0.9500810191,-1.6501620382,1
8.006,-0.9498847941,-1.6497695882,1
8.007,-0.9496881941,-1.6493763883,1
8.008,-0.9494912192,-1.6489824385,1
8.009,-0.9492938695,-1.648587739,1
8.01,-0.949096145,-1.64819229,1
8.011,-0.9488980458,-1.6477960916,1
8.012,-0.948699572,-1.647399144,1
8.013,-0.9485007236,-1.6470014473,1
8.014,-0.9483015009,-1.6466030017,1
8.015,-0.9481019037,-1.6462038074,1
8.016,-0.9479019322,-1.6458038644,1
8.017,-0.9477015865,-1.6454031731,1
8.018,-0.9475008667,-1.6450017334,1
8.019,-0.9472997728,-1.6445995457,1
8.02,-0.947098305,-1.64419661,1
8.021,-0.9468964632,-1.6437929265,1
8.022,-0.9466942477,-1.6433884953,1
8.023,-0.9464916584,-1.6429833167,1
8.024,-0.9462886954,-1.6425773908,1
8.025,-0.9460853588,-1.6421707177,1
8.026,-0.9458816488,-1.6417632975,1
8.027,-0.9456775653,-1.6413551306,1
8.028,-0.9454731085,-1.640946217,1
8.029,-0.9452682784,-1.6405365568,1
8.03,-0.9450630752,-1.6401261504,1
8.031,-0.9448574988,-1.6397149977,1
